리뷰ID,별점,리뷰내용,답글여부
R001,1,음식이 다 식어서 왔어요 배달도 40분 늦었습니다,N
R002,2,요청사항에 양파 빼달라고 했는데 그대로 왔네요,N
R003,4,양도 많고 맛도 좋아요 다음에 또 주문할게요,Y
R004,5,포장 깔끔하고 배달 빨라서 만족합니다,Y
R005,1,국물이 반쯤 새서 도착했어요 다시는 주문 안 할 듯,N
R006,3,맛은 괜찮은데 가격이 조금 비싸요,N
R007,2,치킨이 눅눅하고 감자튀김은 차가웠어요,N
R008,5,가성비 최고예요 가족들이 다 맛있다고 했어요,Y
R009,4,양념이 진해서 밥이랑 잘 어울렸어요,N
R010,1,배달 기사님이 주소를 못 찾아서 한참 걸렸어요,N
R011,2,면이 너무 불어서 왔고 소스가 부족했어요,N
R012,5,매장 메모 반영 잘 해주셔서 감사합니다,Y
R013,3,무난하게 먹었습니다 재주문은 고민될 듯,N
R014,4,생각보다 빨리 와서 따뜻하게 먹었어요,Y
R015,1,음식에서 탄 맛이 나고 고기가 질겼어요,N
R016,2,세트 구성이라고 했는데 음료가 빠졌습니다,N
R017,5,양 많고 친절해서 기분 좋게 먹었어요,Y
R018,4,매콤해서 좋았고 포장도 깔끔했어요,N
R019,3,평균 정도의 맛이었어요,N
R020,5,아이들도 잘 먹어서 만족합니다,Y
